BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15469,6426468,15469,Plant Leaves 2 x 2 with 4 Petals and Axle Hole,155,330,Olive Green,Solid Colors,1,0
22667,6100565,22667,Cherries / Cherry Pair,5,4,Red,Solid Colors,1,0.11
2343,6166107,2343,"Minifigure, Utensil Goblet",12,47,Trans-Clear,Transparent Colors,1,0.26
2431,243126,2431,Tile 1 x 4,11,0,Black,Solid Colors,1,0.54
2431,4211194,2431,Tile 1 x 4,88,70,Reddish Brown,Solid Colors,3,0.54
24866,6446790,24866,"Plate, Round 1 x 1 with Flower Edge (5 Petals)",80,288,Dark Green,Solid Colors,2,0
27263,6295302,27263,"Tile, Modified Facet 2 x 2",88,70,Reddish Brown,Solid Colors,4,0
3005,4113915,3005,Brick 1 x 1,2,19,Tan,Solid Colors,4,0.44
3010,4113916,3010,Brick 1 x 4,2,19,Tan,Solid Colors,5,1.64
3020,4211395,3020,Plate 2 x 4,86,71,Light Bluish Gray,Solid Colors,4,1.2
3020,4267874,3020,Plate 2 x 4,69,28,Dark Tan,Solid Colors,1,1.2
3020,302026,3020,Plate 2 x 4,11,0,Black,Solid Colors,4,1.2
3020,4211186,3020,Plate 2 x 4,88,70,Reddish Brown,Solid Colors,2,1.2
3022,302201,3022,Plate 2 x 2,1,15,White,Solid Colors,1,0.64
3023,4113917,3023,Plate 1 x 2,2,19,Tan,Solid Colors,8,0.36
3024,4221744,3024,Plate 1 x 1,88,70,Reddish Brown,Solid Colors,2,0.2
3024,4159553,3024,Plate 1 x 1,2,19,Tan,Solid Colors,1,0.2
3031,6213252,3031,Plate 4 x 4,154,31,Lavender,Solid Colors,1,2.22
30374,6116614,30374,Bar   4L (Lightsaber Blade / Wand),2,19,Tan,Solid Colors,4,0.3
3062,4117070,3062,"Brick, Round  1 x 1",2,19,Tan,Solid Colors,41,0.28
3062,6300103,3062,"Brick, Round  1 x 1",150,84,Medium Nougat,Solid Colors,24,0
3068,4271949,3068,Tile 2 x 2,88,70,Reddish Brown,Solid Colors,1,0.48
3069,4114026,3069,Tile 1 x 2,2,19,Tan,Solid Colors,8,0.26
3070,4211288,3070,Tile 1 x 1,88,70,Reddish Brown,Solid Colors,1,0.16
32073,4211639,32073,"Technic, Axle  5L",86,71,Light Bluish Gray,Solid Colors,1,0.66
32530,4144024,32530,"Technic, Pin Connector Plate 1 x 2 x 1 2/3 with 2 Holes on Top",11,0,Black,Solid Colors,1,0.64
32607,6398008,32607,"Plant Plate, Round 1 x 1 with 3 Leaves",155,330,Olive Green,Solid Colors,8,0
33121,6253363,33121,Crab,5,4,Red,Solid Colors,1,0.866
3626,6454722,3626,"Minifigure, Head (Plain)",4,25,Orange,Solid Colors,1,0.54
3633,6458386,3633,Fence 1 x 4 x 1 Lattice,2,19,Tan,Solid Colors,3,0
3710,4211445,3710,Plate 1 x 4,86,71,Light Bluish Gray,Solid Colors,4,0.71
3710,4113233,3710,Plate 1 x 4,2,19,Tan,Solid Colors,2,0.71
3710,4211190,3710,Plate 1 x 4,88,70,Reddish Brown,Solid Colors,3,0.71
3795,4550329,3795,Plate 2 x 6,69,28,Dark Tan,Solid Colors,3,1.74
3795,4211247,3795,Plate 2 x 6,88,70,Reddish Brown,Solid Colors,1,1.74
3795,379526,3795,Plate 2 x 6,11,0,Black,Solid Colors,4,1.74
3899,6167767,3899,"Minifigure, Utensil Cup",50,37,Trans-Dark Pink,Transparent Colors,1,0.33
3941,614326,3941,"Brick, Round 2 x 2 with Axle Hole",11,0,Black,Solid Colors,2,1.2
4032,4140562,4032,"Plate, Round 2 x 2 with Axle Hole",2,19,Tan,Solid Colors,2,0.37
4079,4211206,4079,"Minifigure, Utensil Seat / Chair 2 x 2",88,70,Reddish Brown,Solid Colors,6,1.13
41769,6177890,41769,"Wedge, Plate 4 x 2 Right",2,19,Tan,Solid Colors,8,0.83
4345,6138634,4345,"Container, Box 2 x 2 x 2",11,0,Black,Solid Colors,1,2.17
4346,6499105,4346,"Container, Box 2 x 2 x 2 Door with Slot",12,47,Trans-Clear,Transparent Colors,1,0.8
43723,6228984,43723,"Wedge, Plate 3 x 2 Left",2,19,Tan,Solid Colors,16,0
4592c02,4221775,4592c02,Antenna Small Base with Black Lever (4592 / 4593),86,71,Light Bluish Gray,Solid Colors,2,0.16
4599b,4211503,4599b,Tap 1 x 1 without Hole in Nozzle End,86,71,Light Bluish Gray,Solid Colors,2,0.21
4790b,6278548,4790b,"Boat, Ship's Wheel with Slotted Pin",88,70,Reddish Brown,Solid Colors,1,2.5
48729b,6439053,48729b,Bar   1L with Clip Mechanical Claw - Cut Edges and Hole on Side,88,70,Reddish Brown,Solid Colors,12,0
54200,4516055,54200,Slope 30 1 x 1 x 2/3,2,19,Tan,Solid Colors,8,0.21
4085d,6330189,4085d,"Plate, Modified 1 x 1 with Open O Clip Thick (Vertical Grip)",11,0,Black,Solid Colors,2,0.29
6106,6030845,6106,"Wedge, Plate 6 x 6 Cut Corner",69,28,Dark Tan,Solid Colors,4,3.57
61252,6347292,61252,"Plate, Modified 1 x 1 with Open O Clip (Horizontal Grip)",2,19,Tan,Solid Colors,9,0.27
4073,614126,4073,"Plate, Round 1 x 1",11,0,Black,Solid Colors,8,0.12
75937,6197967,75937,"Plate, Modified 2 x 2 with Bar Frame Octagonal, Reinforced, Completely Round Studs",11,0,Black,Solid Colors,1,0
85861,6510163,85861,"Plate, Round 1 x 1 with Open Stud",15,43,Trans-Light Blue,Transparent Colors,1,0.1
87079,6122047,87079,Tile 2 x 4,2,19,Tan,Solid Colors,8,0.9
87081,4558957,87081,"Brick, Round 4 x 4 with Hole",11,0,Black,Solid Colors,1,3.04
87580,4565394,87580,"Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)",88,70,Reddish Brown,Solid Colors,3,0.5
87585,6167187,87585,"Minifigure, Utensil Oar / Paddle Reinforced",1,15,White,Solid Colors,1,0.39
87620,6148265,87620,"Brick, Modified Facet 2 x 2",2,19,Tan,Solid Colors,8,1.0
89523,6037610,89523,"Plate, Modified 10 x 10 Octagonal with Hole",2,19,Tan,Solid Colors,1,10.43
95228,6507875,95228,"Minifigure, Utensil Bottle",20,34,Trans-Green,Transparent Colors,1,0
95228,6507876,95228,"Minifigure, Utensil Bottle",12,47,Trans-Clear,Transparent Colors,1,0
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
268,144.136,,,,,,,,
